ocd_id,fips,county,enrweb_name
ocd-division/country:us/state:mo/county:adair,001,Adair County,ADAIR
ocd-division/country:us/state:mo/county:andrew,003,Andrew County,ANDREW
ocd-division/country:us/state:mo/county:atchison,005,Atchison County,ATCHISON
ocd-division/country:us/state:mo/county:audrain,007,Audrain County,AUDRAIN
ocd-division/country:us/state:mo/county:barry,009,Barry County,BARRY
ocd-division/country:us/state:mo/county:barton,011,Barton County,BARTON
ocd-division/country:us/state:mo/county:bates,013,Bates County,BATES
ocd-division/country:us/state:mo/county:benton,015,Benton County,BENTON
ocd-division/country:us/state:mo/county:bollinger,017,Bollinger County,BOLLINGER
ocd-division/country:us/state:mo/county:boone,019,Boone County,BOONE
ocd-division/country:us/state:mo/county:buchanan,021,Buchanan County,BUCHANAN
ocd-division/country:us/state:mo/county:butler,023,Butler County,BUTLER
ocd-division/country:us/state:mo/county:caldwell,025,Caldwell County,CALDWELL
ocd-division/country:us/state:mo/county:callaway,027,Callaway County,CALLAWAY
ocd-division/country:us/state:mo/county:camden,029,Camden County,CAMDEN
ocd-division/country:us/state:mo/county:cape_girardeau,031,Cape Girardeau County,CAPE GIRARDEAU
ocd-division/country:us/state:mo/county:carroll,033,Carroll County,CARROLL
ocd-division/country:us/state:mo/county:carter,035,Carter County,CARTER
ocd-division/country:us/state:mo/county:cass,037,Cass County,CASS
ocd-division/country:us/state:mo/county:cedar,039,Cedar County,CEDAR
ocd-division/country:us/state:mo/county:chariton,041,Chariton County,CHARITON
ocd-division/country:us/state:mo/county:christian,043,Christian County,CHRISTIAN
ocd-division/country:us/state:mo/county:clark,045,Clark County,CLARK
ocd-division/country:us/state:mo/county:clay,047,Clay County,CLAY
ocd-division/country:us/state:mo/county:clinton,049,Clinton County,CLINTON
ocd-division/country:us/state:mo/county:cole,051,Cole County,COLE
ocd-division/country:us/state:mo/county:cooper,053,Cooper County,COOPER
ocd-division/country:us/state:mo/county:crawford,055,Crawford County,CRAWFORD
ocd-division/country:us/state:mo/county:dade,057,Dade County,DADE
ocd-division/country:us/state:mo/county:dallas,059,Dallas County,DALLAS
ocd-division/country:us/state:mo/county:daviess,061,Daviess County,DAVIESS
ocd-division/country:us/state:mo/county:dekalb,063,Dekalb County,DEKALB
ocd-division/country:us/state:mo/county:dent,065,Dent County,DENT
ocd-division/country:us/state:mo/county:douglas,067,Douglas County,DOUGLAS
ocd-division/country:us/state:mo/county:dunklin,069,Dunklin County,DUNKLIN
ocd-division/country:us/state:mo/county:franklin,071,Franklin County,FRANKLIN
ocd-division/country:us/state:mo/county:gasconade,073,Gasconade County,GASCONADE
ocd-division/country:us/state:mo/county:gentry,075,Gentry County,GENTRY
ocd-division/country:us/state:mo/county:greene,077,Greene County,GREENE
ocd-division/country:us/state:mo/county:grundy,079,Grundy County,GRUNDY
ocd-division/country:us/state:mo/county:harrison,081,Harrison County,HARRISON
ocd-division/country:us/state:mo/county:henry,083,Henry County,HENRY
ocd-division/country:us/state:mo/county:hickory,085,Hickory County,HICKORY
ocd-division/country:us/state:mo/county:holt,087,Holt County,HOLT
ocd-division/country:us/state:mo/county:howard,089,Howard County,HOWARD
ocd-division/country:us/state:mo/county:howell,091,Howell County,HOWELL
ocd-division/country:us/state:mo/county:iron,093,Iron County,IRON
ocd-division/country:us/state:mo/county:jackson,095,Jackson County,JACKSON
ocd-division/country:us/state:mo/county:jasper,097,Jasper County,JASPER
ocd-division/country:us/state:mo/county:jefferson,099,Jefferson County,JEFFERSON
ocd-division/country:us/state:mo/county:johnson,101,Johnson County,JOHNSON
ocd-division/country:us/state:mo/county:knox,103,Knox County,KNOX
ocd-division/country:us/state:mo/county:laclede,105,Laclede County,LACLEDE
ocd-division/country:us/state:mo/county:lafayette,107,Lafayette County,LAFAYETTE
ocd-division/country:us/state:mo/county:lawrence,109,Lawrence County,LAWRENCE
ocd-division/country:us/state:mo/county:lewis,111,Lewis County,LEWIS
ocd-division/country:us/state:mo/county:lincoln,113,Lincoln County,LINCOLN
ocd-division/country:us/state:mo/county:linn,115,Linn County,LINN
ocd-division/country:us/state:mo/county:livingston,117,Livingston County,LIVINGSTON
ocd-division/country:us/state:mo/county:macon,121,Macon County,MACON
ocd-division/country:us/state:mo/county:madison,123,Madison County,MADISON
ocd-division/country:us/state:mo/county:maries,125,Maries County,MARIES
ocd-division/country:us/state:mo/county:marion,127,Marion County,MARION
ocd-division/country:us/state:mo/county:mcdonald,119,Mcdonald County,MCDONALD
ocd-division/country:us/state:mo/county:mercer,129,Mercer County,MERCER
ocd-division/country:us/state:mo/county:miller,131,Miller County,MILLER
ocd-division/country:us/state:mo/county:mississippi,133,Mississippi County,MISSISSIPPI
ocd-division/country:us/state:mo/county:moniteau,135,Moniteau County,MONITEAU
ocd-division/country:us/state:mo/county:monroe,137,Monroe County,MONROE
ocd-division/country:us/state:mo/county:montgomery,139,Montgomery County,MONTGOMERY
ocd-division/country:us/state:mo/county:morgan,141,Morgan County,MORGAN
ocd-division/country:us/state:mo/county:new madrid,143,New Madrid County,NEW MADRID
ocd-division/country:us/state:mo/county:newton,145,Newton County,NEWTON
ocd-division/country:us/state:mo/county:nodaway,147,Nodaway County,NODAWAY
ocd-division/country:us/state:mo/county:oregon,149,Oregon County,OREGON
ocd-division/country:us/state:mo/county:osage,151,Osage County,OSAGE
ocd-division/country:us/state:mo/county:ozark,153,Ozark County,OZARK
ocd-division/country:us/state:mo/county:pemiscot,155,Pemiscot County,PEMISCOT
ocd-division/country:us/state:mo/county:perry,157,Perry County,PERRY
ocd-division/country:us/state:mo/county:pettis,159,Pettis County,PETTIS
ocd-division/country:us/state:mo/county:phelps,161,Phelps County,PHELPS
ocd-division/country:us/state:mo/county:pike,163,Pike County,PIKE
ocd-division/country:us/state:mo/county:platte,165,Platte County,PLATTE
ocd-division/country:us/state:mo/county:polk,167,Polk County,POLK
ocd-division/country:us/state:mo/county:pulaski,169,Pulaski County,PULASKI
ocd-division/country:us/state:mo/county:putnam,171,Putnam County,PUTNAM
ocd-division/country:us/state:mo/county:ralls,173,Ralls County,RALLS
ocd-division/country:us/state:mo/county:randolph,175,Randolph County,RANDOLPH
ocd-division/country:us/state:mo/county:ray,177,Ray County,RAY
ocd-division/country:us/state:mo/county:reynolds,179,Reynolds County,REYNOLDS
ocd-division/country:us/state:mo/county:ripley,181,Ripley County,RIPLEY
ocd-division/country:us/state:mo/county:saline,195,Saline County,SALINE
ocd-division/country:us/state:mo/county:schuyler,197,Schuyler County,SCHUYLER
ocd-division/country:us/state:mo/county:scotland,199,Scotland County,SCOTLAND
ocd-division/country:us/state:mo/county:scott,201,Scott County,SCOTT
ocd-division/country:us/state:mo/county:shannon,203,Shannon County,SHANNON
ocd-division/country:us/state:mo/county:shelby,205,Shelby County,SHELBY
ocd-division/country:us/state:mo/county:st_charles,183,St. Charles County,ST CHARLES
